Timestamp,Stock A,Stock B,Signal,Buy Stock,Exit Stock,Z-Score,Half-Life
2024-12-16,SSHL,LVF2,Exit,,LVF2,-0.672035665463833,23.332797665480165
2024-11-26,NMFBSP,H8020,Hold,,,-0.8800348861849757,5.7063002382975005
2024-12-16,CMF2,HRL,Hold,,,1.4150061272169077,19.315035948864605
2024-12-12,SFEF,NICGF,Hold,,,-0.9934933474356963,5.545535091637928
2024-12-16,EHPL,MAKAR,Exit,,EHPL,0.7818567398772814,31.007295206654906
2024-12-16,VLUCL,SEF,Exit,,SEF,-0.3068716168141728,8.196368035777011
2024-12-16,VLUCL,KKHC,Hold,,,-0.3482145378206585,18.057254478714047
2024-12-16,NMLBBL,ULHC,Hold,,,-0.9973510697796221,35.6650302578607
2024-12-16,KBSH,GRDBL,Buy,GRDBL,,1.9583113912606027,12.050122224684971
2024-12-16,KBSH,MPFL,Buy,MPFL,,3.177240786070609,32.374832111355566
2024-12-16,MKJC,LVF2,Hold,,,-1.6698108405249221,21.38950753561815
2024-12-16,NRM,SPDL,Hold,,,-0.8005717588334741,16.567804162086702
2024-12-16,PMHPL,C30MF,Hold,,,-0.18247187367146328,8.567976599898515
2024-12-16,SGHC,MKCL,Hold,,,1.1614841431407028,24.7360272175762
2024-12-16,MSHL,TSHL,Exit,,TSHL,-0.6279888989986545,6.520377430197807
2024-12-16,UHEWA,MMKJL,Hold,,,-0.6721091761528728,11.600018738901946
2024-12-16,SAEF,PRSF,Hold,,,1.1917711918509726,14.403308342625138
2024-12-16,SMHL,NABBC,Hold,,,-1.0125212817458182,16.42515824090919
2024-12-16,NIBSF2,SIGS3,Exit,,SIGS3,-0.6495393625751157,7.34629708386236
2024-12-16,MKCL,HPPL,Hold,,,-0.0484170786558534,23.73171320437046
2024-12-16,MKCL,MEHL,Hold,,,-1.4609509350411694,25.845781517402955
2024-12-16,NICBF,NICSF,Buy,NICBF,,-2.660191034006829,17.69134847854968
2024-12-16,HRL,EBL,Hold,,,-1.5540679784756497,15.34155088710776
2024-12-16,HEI,PRSF,Hold,,,0.38291983589250145,6.637658107438951
2024-12-16,HHL,H8020,Hold,,,0.4305968371908875,12.445704619890153
2024-12-16,CITY,HEIP,Hold,,,0.6473328625383016,28.30230716668833
2024-12-16,GBBL,PRSF,Exit,,PRSF,-0.5842202557443821,7.960083975950448
2024-12-16,KKHC,MEHL,Exit,,KKHC,0.034321998261320555,16.029887963574843
2024-12-16,HURJA,H8020,Buy,HURJA,,-1.5688076667388267,7.325985673819645
2024-12-16,JOSHI,SBID89,Hold,,,0.731599578910714,19.832051853516536
2024-12-16,MMKJL,MEHL,Hold,,,-1.0926430473537947,8.714159470931282
2024-12-12,NICGF,PRSF,Hold,,,1.4121779618859078,4.6735447115829105
2024-12-16,MEL,NHDL,Exit,,MEL,-0.3637804509362025,18.435777929332843
2024-12-16,SALICO,PRSF,Buy,PRSF,,1.549810582215566,10.781464321330688
