Stock A,Stock B,Z Entry Threshold A,Z Entry Threshold B,Z Exit Threshold,Stop Loss Threshold,Final Cumulative Returns,Final Sharpe Ratio,Final Sortino Ratio,Final Max Drawdown,Total Trades,Win Rate,Profit Factor,Average Profit,Average Loss,Timestep 1
SBCF,NICSF,-1.6446763245180225,1.2490804061506173,-0.0003652950594311699,0.1,"(15683.660601381682,)","(0.6688133120820269,)","(0.07931493944112625,)","(0.13712829569934884,)","(122.0,)",0.6721311475409836,"(3.502828947368422,)","(0.16232621951219514,)",0.095,15683.660601381682
SBCF,SKBBL,-1.2551534556404165,2.969631957123168,0.07163989420444583,0.05,"(17399.107144955986,)","(1.2066246396516545,)","(0.31064613474886493,)","(0.023110395701267515,)","(59.0,)",0.7457627118644068,"(43.94190476190347,)","(1.0486136363636374,)",0.07000000000000212,17399.107144955986
SBCF,SBIBD86,-2.0021596551743324,2.4425941006551457,-0.459395121453574,0.1,"(12492.30842519752,)","(0.3231824794804908,)","(0.05252508276435508,)","(0.03969570802887482,)","(32.0,)",0.59375,"(1.9344912713807128,)","(5.773947368421055,)",4.725833333333326,12492.30842519752
SBCF,SIGS2,-1.898274863214055,1.538534451477723,0.2490633260757833,0.05,"(17088.735112342347,)","(0.9965269608857017,)","(0.15115353980475713,)","(0.07288307324211754,)","(83.0,)",0.7228915662650602,"(3.3636363636363606,)","(0.24049999999999994,)",0.19500000000000012,17088.735112342347
SBCF,SIGS3,-1.0817603529573592,2.193317655555962,0.4570436148591531,0.05,"(10187.39227414054,)","(0.27607203981736833,)","(0.02860632202768059,)","(0.02849894176460576,)","(8.0,)",0.75,"(3.3696428571428565,)","(0.23587499999999992,)",0.20999999999999996,10187.39227414054
SBCF,BBC,-1.1911724322348194,1.1436842923991306,0.26987494586870153,0.1,"(10477.047496467248,)","(-0.5270185862303352,)","(-0.06226145673053122,)","(0.07133724303973259,)","(73.0,)",0.5616438356164384,"(0.7786229193403413,)","(79.01959146341464,)",134.22387096774196,10477.047496467248
SBCF,PRSF,-2.2068829328327286,1.6897578680697447,-0.13014761180427104,0.05,"(10618.111143024182,)","(0.1988239018958181,)","(0.03223763063394711,)","(0.03764439190214375,)","(11.0,)",0.45454545454545453,"(10.082499999999847,)","(0.2016499999999998,)",0.020000000000000285,10618.111143024182
SBCF,CBBL,-1.653015668081633,2.690122054014431,0.07203154115182908,0.05,"(12194.746903987556,)","(0.17802787789253946,)","(0.03350761409805059,)","(0.04009494920260143,)","(39.0,)",0.5897435897435898,"(0.552637816346815,)","(3.142586956521741,)",8.719333333333346,12194.746903987556
SBCF,LBLD86,-1.851525932082754,2.2869536232731713,-0.28636662266590784,0.1,"(12661.57677355252,)","(0.40212750843350026,)","(0.20967425986172966,)","(0.014464020624865476,)","(31.0,)",0.45161290322580644,"(0.6576929183867894,)","(1.4793392857142857,)",1.8523529411764708,12661.57677355252
AKJCL,CITY,-2.9863707760778895,1.466538475291066,0.02535312980122184,0.05,"(10684.849368212945,)","(0.5686768559489457,)","(0.2706235809086208,)","(0.006741675097994895,)","(12.0,)",0.4166666666666667,"(1.3072753396029266,)","(50.042500000000004,)",27.34285714285713,10684.849368212945
AKJCL,NWCL,-1.1329159135000892,2.090117683410841,0.036714085897804116,0.05,"(10512.775415928803,)","(1.4845483675803426,)","(0.8178878537240061,)","(0.006334676807972925,)","(7.0,)",0.5714285714285714,"(12.082390510948871,)","(16.552875000000007,)",2.740000000000009,10512.775415928803
AKJCL,BHPL,-2.261792897997272,1.6166787668718934,0.3155099984096329,0.1,"(9748.477570529036,)","(-1.6701359196289682,)","(-0.14277135142574618,)","(0.04563411960955636,)","(29.0,)",0.6551724137931034,"(1.0946641899766898,)","(7.909236842105265,)",13.728000000000003,9748.477570529036
AKJCL,NICSF,-1.080785607826566,1.640894818746052,0.0883495324234318,0.05,"(47324.724404980894,)","(0.7391111162293285,)","(0.20859406435926173,)","(0.3752282084281616,)","(47.0,)",0.6808510638297872,"(1.205656693102621,)","(3.1354609375000004,)",5.944285714285708,47324.724404980894
SWBBL,CITY,-2.5976864332112495,1.0305464256345978,0.48955966919000526,0.05,"(12411.505113042645,)","(1.0821686247725186,)","(0.29543272804691534,)","(0.03816644372175782,)","(16.0,)",0.4375,"(0.47886631716906936,)","(17.746785714285707,)",28.82444444444444,12411.505113042645
SWBBL,SLCF,-1.2843889139968496,1.1158532296512849,0.3760753449570614,0.15000000000000002,"(362.7736402065294,)","(0.6771046617933454,)","(0.09323788975748272,)","(2.8608014153736665,)","(68.0,)",0.5882352941176471,"(0.7623413314962476,)","(13.002493750000003,)",24.36571428571429,362.7736402065294
SWBBL,RURU,-1.6940162744516096,1.1864871787259856,0.1275023629769637,0.1,"(15427.315147625672,)","(0.6169038887138774,)","(0.10845039304480811,)","(0.11886684668595089,)","(61.0,)",0.5081967213114754,"(0.8361456441039417,)","(34.14980645161292,)",42.20333333333333,15427.315147625672
SWBBL,LVF2,-1.8109024707278196,1.20188265497023,-0.2204864499864635,0.05,"(59.915267180455125,)","(0.6895940206739761,)","(0.07046080657584053,)","(3.08418188820151,)","(18.0,)",0.5,"(0.6030637254901958,)","(0.13669444444444445,)",0.2550000000000001,59.915267180455125
SWBBL,BHPL,-1.4939874423586132,2.880703043195248,0.18800266549381295,0.05,"(10872.438381997728,)","(0.11736969954652357,)","(0.015573769709153643,)","(0.056120655393952286,)","(21.0,)",0.42857142857142855,"(1.1742950537434298,)","(28.04086111111113,)",19.537272727272704,10872.438381997728
SWBBL,MEL,-2.5428330386975,1.0188345295115506,0.21932888357161773,0.1,"(17372.739115349646,)","(1.6406814168998776,)","(1.0199512755977642,)","(0.028724466758258304,)","(11.0,)",0.5454545454545454,"(2.6827278325123176,)","(18.153125000000014,)",8.12,17372.739115349646
SWBBL,PRSF,-2.9277739630543227,1.323405506850331,0.34609647383800424,0.05,"(34122.93601225506,)","(1.4612155256453856,)","(0.2111090025576673,)","(3.0451066114344805,)","(23.0,)",0.6086956521739131,"(2.142916666666667,)","(0.18367857142857144,)",0.13333333333333336,34122.93601225506
ICFC,CITY,-1.6548917581831093,2.6855492732660116,0.16133200770124045,0.05,"(12237.349314857489,)","(1.3234625135101465,)","(0.3600115097331584,)","(0.03747340036572493,)","(14.0,)",0.5,"(1.2353322528363042,)","(21.777142857142852,)",17.628571428571433,12237.349314857489
ICFC,NICSF,-1.864700737618378,2.269613246599758,-0.3533590014375304,0.1,"(1472091.8308523612,)","(0.9796470784566289,)","(0.784951701597182,)","(0.6132838873145123,)","(33.0,)",0.6060606060606061,"(0.7904956468611573,)","(12.938437499999996,)",27.279166666666672,1472091.8308523612
ICFC,SRLI,-1.5598575548411804,1.7187700034161197,0.12301144424190291,0.1,"(15048.626431218112,)","(0.6271537384038873,)","(0.11094607895611706,)","(0.10526315922775939,)","(52.0,)",0.4423076923076923,"(0.8540013083296983,)","(22.13645652173912,)",21.292142857142867,15048.626431218112
GLH,CITY,-1.805886642570314,1.6494163421440844,0.3580798709047863,0.1,"(11775.937749059854,)","(0.9666133307220479,)","(0.24432389343070532,)","(0.05284422111433214,)","(17.0,)",0.35294117647058826,"(0.8495225694444445,)","(16.31083333333334,)",10.472727272727274,11775.937749059854
GLH,LVF2,-1.3445013785466204,1.8166345628102298,-0.010969517903748005,0.05,"(11367.198905554125,)","(0.5074506545986446,)","(0.09376306411663064,)","(0.4428954112138074,)","(21.0,)",0.38095238095238093,"(0.28552695189751026,)","(1.47653125,)",3.1823076923076927,11367.198905554125
GLH,C30MF,-1.5234416422673065,2.665088860504806,-0.16885898397394217,0.05,"(10774.078719470406,)","(0.42713713132977543,)","(0.05759702358299175,)","(0.07729375416853558,)","(13.0,)",0.38461538461538464,"(1.0766743648960733,)","(9.323999999999996,)",6.185714285714288,10774.078719470406
GLH,SIGS3,-2.00421185999041,2.88238674817721,-0.020490712604011252,0.05,"(10222.108765432098,)","(0.66257638487664,)","(0.9653564354931775,)","(0.0010000000000003207,)","(1.0,)",0.0,"(0.0,)","(0.0,)",6.699999999999989,10222.108765432098
